Name,Status,Address,AffiliateOfferTurnedOn,AffliliateLink
"Mesa, AZ ",Open,"1135 N Recker Rd Mesa, AZ 85205",YES,https://thepicklr.com/location/mesa/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Mount Prospect, IL",Open,"211 W Rand Rd, Mt Prospect, IL 60056, USA",YES,https://thepicklr.com/location/mount-prospect/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Mundelein, IL",Open,"1555 S. Lake Street, Mundelein, IL 60060",YES,https://thepicklr.com/location/mundelein/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Naperville, IL",Open,"740 Illinois Rte 59, Naperville, IL 60540",YES,https://thepicklr.com/location/naperville/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Newtown, PA",Open,"20 West Road, Newtown, PA 18940",YES,https://newtown.thepicklr.com/memberships/4622/plan/9498?_gl=1*9tqako*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjEuMTc0MTI4MTUxOC4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Normal, IL",Open,"1503 E. College Avenue, Normal, IL 61761",YES,https://normal.thepicklr.com/memberships/4114/plan/9500?_gl=1*j7ts2t*_gcl_au*NDYxNzUxMjk3LjE3MzU4NDI4NjUuMzExMzk4ODA3LjE3NDA3NzkzNTMuMTc0MDc4MjM2Nw..&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Round Rock, TX",Open,"3021 S. Interstate 35, Suite 240 Round Rock, Texas 78664",YES,https://thepicklr.com/location/round-rock/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Salt Lake City, UT",Open,"1180 Brickyard Road, Salt Lake City, UT 84106",YES,https://saltlakecity.thepicklr.com/memberships/3162/plan/6326?_gl=1*1t0zdji*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjEuMTc0MTI4MTU1OS4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Sandy, UT",Open,"8645 South Highland Dr. Sandy, UT 84093",YES,https://sandy.thepicklr.com/memberships/2873/plan/9501?_gl=1*sulz04*_ga*MTQ2ODAyMzgxMS4xNzQxMjgxMzA4*_ga_RP1D1ZTH5S*MTc0MTI4MTMwNy4xLjEuMTc0MTI4MTU4Ni4wLjAuMA..*_gcl_au*MTkzNjQyMTYxNS4xNzQxMjgxMzA4&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Scottsdale North, AZ",Open,"9190 Talking Stick Way, Scottsdale, AZ 85250",YES,https://thepicklr.com/location/scottsdale-north/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"St. George, UT",Open,"615 E St. George Blvd. St. George, UT 84770",YES,https://stgeorge.thepicklr.com/memberships/2874/plan/9506?_gl=1*r6od5e*_ga*OTA0MTk2NjguMTc0MTI4MDg2OQ..*_ga_RP1D1ZTH5S*MTc0MTI4MDg2OC4xLjEuMTc0MTI4MDg5NS4wLjAuMA..*_gcl_au*MjE0NTQ1MzA2NS4xNzQxMjgwODY5&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Tempe, AZ",Open,"1315 W. Elliot Rd. Tempe, AZ 85284",YES,https://thepicklr.com/location/tempe/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Uintah, UT",Open,"2491 East 6700 South Uintah, UT 84405",YES,https://www.thepicklrapp.com/memberships/2899/plan/9505?_gl=1*1hqrgbu*_ga*OTA0MTk2NjguMTc0MTI4MDg2OQ..*_ga_RP1D1ZTH5S*MTc0MTI4MDg2OC4xLjEuMTc0MTI4MTAwNS4wLjAuMA..&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Villa Park, IL",Open,"270 W. North Ave. Villa Park, IL 60181-1100",YES,https://villapark.thepicklr.com/memberships/2904/plan/9507?_gl=1*1pmlsdx*_ga*MTczMjY0ODUwNi4xNzQxMjgxMDQz*_ga_RP1D1ZTH5S*MTc0MTI4MTA0Mi4xLjAuMTc0MTI4MTA1MC4wLjAuMA..*_gcl_au*NTkxNzMzNzk0LjE3NDEyODEwNDM.&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"West Jordan, UT",Open,"6856 South Redwood Rd. West Jordan, UT 84084",YES,https://westjordan.thepicklr.com/memberships/2872/plan/9503?_gl=1*5tc7x6*_ga*MTczMjY0ODUwNi4xNzQxMjgxMDQz*_ga_RP1D1ZTH5S*MTc0MTI4MTA0Mi4xLjEuMTc0MTI4MTEyNC4wLjAuMA..*_gcl_au*NTkxNzMzNzk0LjE3NDEyODEwNDM.&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Westfield, MA",Open,Westfield Shops 415 E Main St Retail A-1 Westfield MA 01085,YES,
"Cumming, GA",Pre-Sale Live,"3140 Ronald Reagan Blvd. Cumming, GA 30041",YES,
"Lehi, UT",Pre-Sale Live,"629 North Saratoga Road Bldg 2, Saratoga
Springs, Utah 84043",YES,
"Manahawkin-LBI, NJ",Pre-Sale Live," 205 NJ-72 West Manahawkin, New Jersey 08050",YES,
"Orlando North, FL",Pre-Sale Live,"474 S. Hunt Club Blvd. Suite #474, Apopka, FL 32703",YES,https://thepicklr.com/location/orlando-north/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Peoria, AZ",Pre-Sale Live,"7586 W Thunderbird Rd Peoria, AZ 85381",YES,https://thepicklr.com/location/peoria/?rstr=10610&utm_source=organic-referral&utm_medium=ambassador&utm_campaign=WillParton-10610
"Westbrook, ME",Pre-Sale Live,17 Main Street Westbrook ME 04092,YES,
"Williamsburg, VA",Pre-Sale Live,"120 Gristmill Plaza, Williamsburg, VA 23185",YES,
"Lewisville, TX",Signed Lease,"2450 S Stemmons Fwy, Lewisville, TX 75067",YES,
"Wheaton, IL",Signed Lease,"191 Rice Lake Square, Wheaton, IL 60189",YES,
"Broomall, PA",Lease Pending,2940 Springfield Rd Suite 2B Broomall PA 19008,NO,
"District West, TX",Lease Pending,"The Oaks, District West Houston TX",NO,
"Exton, PA",Lease Pending,201 W Lincoln Hwy Exton PA 19341,NO,
"Olathe, KS",Lease Pending,16630 W 135 th St. Olathe KS 66062,NO,
"Keystone-Crossing, IN",Open,"3810 E. 82nd St., Indianapolis, IN",NO,
"McKinney, TX",Open,"2975 Craig Dr., McKinney, TX 75072",NO,
"Noblesville, IN",Open,"9847 Cumberland Pointe Boulevard Noblesville, IN 46060",NO,
"Thornton, CO",Open,"9923 Grant Street, Thornton, CO 80229",NO,
"West Fort Worth, TX",Open,"1705 S. Cherry Lane, White Settlement, TX",NO,
"Austin West, TX",Pre-Sale Live,8201 N FM 620 Austin TX ,NO,
"Birmingham, AL",Pre-Sale Live,"1031 Montgomery Hwy, Vestavia Hills, AL Freestanding retail former Sprouts",NO,
"Burlington, MA",Pre-Sale Live,40 Ray Ave Burlington MA 01803,NO,
"Fair Lawn, NJ",Pre-Sale Live,"18-01 Pollitt Dr Fair Lawn, NJ 07410",NO,
"Arlington, TX",Signed Lease,"4915 S Cooper St, Arlington, TX 76017",NO,
"Aurora, CO",Signed Lease,"23680 E Orchard Road, Aurora CO",NO,
"Bozeman, MT",Signed Lease,"225 Laura Louise Lane, Bozeman, MT 59718",NO,
"Charlotte, NC",Signed Lease,"1801 N. Tryon St. Charlotte, NC 28206",NO,
"Columbia, SC",Signed Lease,"10204 A Two Notch rd, Columbia SC",NO,
"Cypress, TX",Signed Lease,"8920 Barker Cypress Road, Cypress, TX ",NO,
"Fort Collins, CO",Signed Lease,"3137 N Garfield Ave, Loveland CO 80538",NO,
"Fort Myers, FL",Signed Lease,"12271 ITEC Park Dr. Fort Myers, FL 33913",NO,
"Fremont, WA",Signed Lease,"124 North 35th Street, Seattle WA",NO,
"Greensboro, NC",Signed Lease,"1618 Highwoods Blvd, Greensboro, NC 27410",NO,
"Greenville, SC",Signed Lease,"2435 Old Spartangburg Rd, Greenville, SC 29615",NO,
"Hurst, TX",Signed Lease,"840 Airport Fwy. Hurst, TX",NO,
"Live Oak, TX",Signed Lease,"7529 N. Loop 1604 E., Live Oak, Texas 78233",NO,
"Menomonee Falls, WI",Signed Lease,"N78W14511 Appleton Avenue, Menomonee Falls, WI 53051",NO,
"Naples South, FL",Signed Lease,"3880 Beck Boulevard, Naples, FL 34144",NO,
"Nashville South, TN",Signed Lease,"3040 Sidco Drive, Nashville, TN 37204",NO,
"Newark, DE",Signed Lease,"301 College Square, Newark, DE",NO,
Rancho Cordova,Signed Lease,11135 Trade center dr Rancho Cordova,NO,
"Spanish Fork, UT",Signed Lease,"1319 N 300 W spanish fork, UT ",NO,
"The Woodlands, TX",Signed Lease,"16950 I-45 s Conroe, TX",NO,
"Tucson, AZ",Signed Lease,"11955 N Oracle Rd, Oro Valley, AZ 85737, USA",NO,
"Vista, CA",Signed Lease,"940 S Santa Fe ave, Vista Ca",NO,
"West Nashville, TN",Signed Lease,"1111 63rd Ave North, Nashville, TN 37209",NO,
"Westminster, CA",Signed Lease,"14731 Goldenwest St, Westminster, CA",NO,
